rx.techomespace.com, 103.70.12.129
dns.alidns.com, 223.5.5.5
dns.alidns.com, 223.6.6.6
dns.jupitrdns.com, 155.248.232.226
dandelionsprout.asuscomm.com, 88.88.78.12
ibksturm.synology.me, 213.196.191.96
zero.dns0.eu, 37.252.231.163
zero.dns0.eu, 212.126.59.63
doh.tiar.app, 174.138.29.175
dns.us.futuredns.eu.org, 5.161.67.176
unfiltered.adguard-dns.com, 94.140.14.140
unfiltered.adguard-dns.com, 94.140.14.141
dns.de.futuredns.eu.org, 162.55.52.228
dns.adguard-dns.com, 94.140.15.15
dns.adguard-dns.com, 94.140.14.14
family.adguard-dns.com, 94.140.15.16
family.adguard-dns.com, 94.140.14.15
comss.dns.controld.com, 76.76.2.22
