209.164.189.54,209-164-189-54.biz.static.teleguam.net.
209.164.189.55,209-164-189-55.biz.static.teleguam.net.
209.164.189.56,209-164-189-56.biz.static.teleguam.net.
114.142.243.170,114-142-243-170.dsl.teleguam.net.
202.128.7.226,solid.guam.net.
121.55.209.16,121-55-209-16.d.c200.guam.net.
202.151.81.209,202-151-81-209.biz.static.teleguam.net.
202.151.90.181,202-151-90-181.core.static.teleguam.net.
81.21.82.109,
185.43.189.197,
85.132.85.85,ns2.az-ix.net.
5.134.61.91,
5.191.8.238,
5.191.7.129,
37.26.62.5,
85.132.76.1,
149.255.154.122,host-149.255.154.122.katv1.net.
89.147.200.35,
81.17.80.202,
62.212.235.109,
85.132.12.225,
94.20.20.20,ns1.az-ix.net.
78.111.53.210,
37.32.79.106,
78.109.52.12,
37.114.128.156,
5.134.48.218,
185.43.190.145,
37.114.153.26,
89.147.205.202,
78.109.53.41,
82.194.19.134,
85.132.10.108,
95.86.154.201,host-95-86-154-201.smart.az.
81.21.85.200,
85.132.36.248,
81.21.85.191,
89.147.204.226,
78.111.53.162,
37.26.2.116,
82.194.17.152,
85.132.12.178,
94.20.216.66,
94.20.230.175,
185.118.51.243,
78.109.52.80,
81.21.85.208,
81.17.94.86,
89.147.203.164,
81.17.89.73,
81.21.86.215,215-86-21-81-pppoe-dynamic-ip.ultel-dot-net.
81.17.90.248,
81.21.87.4,4-86-21-81-pppoe-dynamic-ip.ultel-dot-net.
85.132.7.238,
94.20.230.180,
81.21.82.86,
94.20.52.115,
185.32.47.109,
94.20.68.142,
89.147.205.66,
85.132.110.152,
82.194.19.99,
81.17.94.238,
195.28.6.202,
94.20.52.142,
31.171.110.240,
89.147.203.34,
37.26.2.27,
85.132.110.163,
185.233.183.230,
91.216.134.135,
82.194.19.248,
85.132.110.40,
85.132.61.185,
81.21.86.208,208-86-21-81-pppoe-dynamic-ip.ultel-dot-net.
185.43.190.1,
85.132.99.101,
217.25.30.166,
85.132.5.130,
78.109.49.232,
185.118.49.85,
94.20.82.6,
94.20.81.90,
85.132.18.214,
94.20.47.178,
37.32.77.102,
81.21.86.200,200-86-21-81-pppoe-dynamic-ip.ultel-dot-net.
89.147.205.130,
85.132.14.3,
85.132.10.116,
92.39.93.178,
78.109.52.49,
81.17.93.146,
185.32.45.84,
81.17.81.34,
31.170.235.154,
92.39.93.72,
91.234.235.54,
91.135.248.179,
31.171.80.148,
85.132.8.246,
85.132.110.243,
94.20.142.202,
217.64.23.170,ppp170-23.bakinter.net.
31.171.80.107,
91.135.243.28,
93.88.81.38,mail.fiberon.ws.
91.135.255.95,
85.132.8.70,
185.220.182.179,
91.191.42.18,
77.238.210.30,
5.133.134.93,adsl70po93.tel.net.ba.
5.149.90.172,
5.149.90.231,
5.149.90.246,
5.149.91.177,
5.149.90.125,
5.149.90.78,
5.149.90.181,
5.149.90.186,
5.149.91.38,
5.149.91.51,
5.149.91.59,
5.149.91.74,
5.149.91.145,
5.149.91.191,
5.149.91.199,
5.149.90.26,
5.149.91.22,
5.149.90.213,
5.149.91.139,
5.149.91.18,
5.133.156.252,adsl80po252.tel.net.ba.
5.149.69.139,
5.149.90.113,
5.149.90.150,
5.149.90.43,
5.149.90.198,
5.149.90.250,
5.149.91.17,
5.149.90.157,
5.149.90.241,
5.149.91.175,
5.149.91.190,
5.149.91.201,
5.149.90.17,
5.149.91.171,
5.149.91.60,
5.149.90.158,
5.149.91.122,
5.149.90.236,
5.149.90.114,
5.149.91.100,
5.152.235.5,
5.152.235.100,
109.105.205.94,tc-cutuk-net-14-94.team.ba.
185.65.122.90,
77.238.209.242,b2b-77-238-209-242.static.telemach.ba.
87.250.111.14,
92.36.151.170,
77.78.204.216,cable-77-78-204-216.dynamic.telemach.ba.
77.77.214.226,b2b-77-77-214-226.static.telemach.ba.
77.78.205.71,cable-77-78-205-71.dynamic.telemach.ba.
217.23.199.77,77-199-23-217-stat.customer.blic.net.
81.93.93.78,ppp-93-78.teol.net.
94.250.31.166,
188.124.215.156,
5.149.91.66,
91.191.6.197,
91.205.69.150,static.res.bb.9120569150.dslon.ws.
81.93.89.116,
87.250.111.15,
93.180.120.136,cable-93-180-120-136.dynamic.telemach.ba.
212.39.106.154,
77.78.205.134,cable-77-78-205-134.dynamic.telemach.ba.
87.250.113.141,
77.238.211.202,
89.111.251.83,
80.65.163.78,mail.safenet.rs.
93.157.196.38,static.res.bb.9315719638.dslon.ws.
77.78.204.149,cable-77-78-204-149.dynamic.telemach.ba.
80.65.83.119,cust.citosec.806583-119.bih.net.ba.
77.77.212.234,b2b-77-77-212-234.static.telemach.ba.
80.65.80.230,
80.80.44.129,cable-80-80-32-129.dynamic.telemach.ba.
87.247.137.97,
87.247.139.9,
92.241.143.147,147-143-241-92-stat.customer.blic.net.
81.93.93.94,ppp-93-94.teol.net.
93.157.199.90,static.res.bb.9315719990.dslon.ws.
92.241.138.181,181-138-241-92.pppoe.dyn.broadband.blic.net.
87.247.137.242,
89.111.246.182,
81.93.71.10,static-71-10.teol.net.
77.238.201.34,
94.250.18.55,
91.205.69.100,static.res.bb.9120569100.dslon.ws.
89.111.245.17,
217.75.201.2,
81.93.93.70,ppp-93-70.teol.net.
77.221.5.54,b2b-77-221-5-54.static.telemach.ba.
93.180.116.115,cable-93-180-116-115.dynamic.telemach.ba.
195.222.45.135,dlp-135.as54.ze-old.bih.net.ba.
89.111.205.26,
89.111.237.29,
91.191.36.145,
77.78.196.3,cable-77-78-196-3.static.telemach.ba.
77.77.215.98,b2b-77-77-215-98.static.telemach.ba.
77.78.201.59,cable-77-78-201-59.static.telemach.ba.
80.65.70.1,dlp-c-1.as58.ob.bih.net.ba.
77.78.205.168,cable-77-78-205-168.dynamic.telemach.ba.
78.28.158.220,
89.111.237.103,
81.93.71.254,
105.96.43.54,
196.41.255.10,
193.194.89.2,usthbie.usthb.dz.
193.194.79.194,ns1.esi-sba.dz.
41.100.61.49,
41.111.153.93,
41.111.135.226,
41.111.137.138,
80.246.15.4,
41.111.138.162,mail.pharmalliance.dz.
197.201.224.51,
197.201.224.49,
41.110.223.6,
103.21.194.19,
158.140.238.43,
125.239.155.163,125-239-155-163-fibre.sparkbb.co.nz.
103.156.192.13,
121.98.232.9,dynamic-cpe-pool.orcon.net.nz.
203.86.198.198,203-86-198-198-wn11-dsl.tasman.net.
222.154.226.160,cloud.jessicah.nz.
202.89.154.34,default-rdns.vocus.co.nz.
210.48.77.69,ip-210-48-77-69.iconz.net.nz.
27.123.22.82,
118.92.235.193,118-92-235-193.dsl.dyn.ihug.co.nz.
124.248.128.131,124-248-128-131.dynamic.lightwire.co.nz.
161.65.224.179,default-rdns.vocus.co.nz.
203.109.195.141,UNASSIGNED.static.cust.vf.net.nz.
182.236.124.66,
202.74.208.32,
103.81.226.246,
103.24.136.208,ip103-24-136-208.satlan.co.nz.
203.173.163.89,UNASSIGNED.static.cust.vf.net.nz.
219.89.203.248,219-89-203-248.adsl.xtra.co.nz.
103.131.53.67,
103.131.55.58,
103.131.53.52,
114.23.116.21,jamar-mw2aj4.cloudserver.nz.
223.165.64.97,rdns.223.165.64.97.sth.nz.
114.23.146.151,
158.140.248.161,
163.47.241.111,163-47-241-111.static.lightwire.co.nz.
103.131.54.143,
103.131.55.150,
125.236.214.167,125-236-214-167.adsl.xtra.co.nz.
14.1.42.148,14.1.42.148.host.layer2.co.nz.
119.224.14.141,default-rdns.vocus.co.nz.
121.75.182.176,121-75-182-176.dyn.vf.net.nz.
121.98.146.139,default-rdns.vocus.co.nz.
203.211.82.101,ip-203-211-82-101.as45177.net.
125.236.194.146,125-236-194-146.adsl.xtra.co.nz.
121.90.197.226,
114.23.113.122,
103.24.140.10,
103.113.204.104,
114.23.165.71,
139.5.165.112,ip139-5-165-112.bluereach.net.nz.
120.138.22.174,dns-nz-02.getflix.com.au.
203.86.200.253,email.techsystems.net.nz.
114.134.11.177,114-134-11-177.static.lightwire.co.nz.
202.180.79.11,ports.cpiwn1-n4.callplus.net.nz.
118.92.44.20,118-92-44-20.dsl.dyn.ihug.co.nz.
203.118.157.106,106.157.118.203.static.cust.vf.net.nz.
103.18.138.20,
121.75.197.14,121-75-197-14.dyn.vf.net.nz.
120.138.27.84,dns-nz-01.getflix.com.au.
105.174.40.238,
105.174.30.162,
154.127.150.168,cust168-150.127.154.tvcabo.ao.
41.63.165.22,mail.cpcafrica.com.
197.148.52.180,cust180-52.148.197.tvcabo.ao.
154.127.234.250,cust250-234.127.154.tvcabo.ao.
41.205.48.104,cust104-48.205.41.tvcabo.ao.
41.63.182.2,cust2-182.63.41.tvcabo.ao.
192.12.111.30,ns3.bpc.ao.
41.63.188.109,cust109-188.63.41.tvcabo.ao.
154.127.218.57,cust57-218.127.154.tvcabo.ao.
41.205.62.29,cust29-62.205.41.tvcabo.ao.
154.127.144.1,cust1-144.127.154.tvcabo.ao.
196.249.202.174,
197.216.105.90,
196.29.194.146,
41.218.114.72,c19137.cust.ao.afrisp.net.
196.13.243.20,rdns1.lisluanda.com.
196.29.204.226,
200.69.193.2,dns1.iplanisp.com.ar.
190.192.166.130,130-166-192-190.cab.prima.net.ar.
190.246.38.135,135-38-246-190.fibertel.com.ar.
200.16.208.187,host187.advance.com.ar.
190.210.8.69,customer-static-210-8-69.iplannetworks.net.
190.210.8.90,customer-static-210-8-90.iplannetworks.net.
190.122.20.30,
181.10.117.254,host254.181-10-117.telecom.net.ar.
200.0.228.118,host118.advance.com.ar.
200.32.51.179,
190.183.246.27,
181.209.105.154,154.105.209.181.in-addr.arpa.
190.211.81.221,221-81-211-190.patagoniagreen.com.
186.182.242.173,
190.185.150.101,101.150.185.190.unassigned.ridsa.com.ar.
190.193.87.143,143-87-193-190.cab.prima.net.ar.
181.47.115.8,cpe-181-47-115-8.telecentro-reversos.com.ar.
181.46.31.244,cpe-181-46-31-244.telecentro-reversos.com.ar.
190.194.38.238,238-38-194-190.cab.prima.net.ar.
181.118.176.23,host23.181-118-176.nodosud.com.ar.
181.170.95.20,20-95-170-181.fibertel.com.ar.
200.10.111.176,176.host.advance.com.ar.
181.116.218.63,
177.136.84.254,
200.0.183.39,
200.45.79.40,host40.200-45-79.telecom.net.ar.
152.168.88.69,69-88-168-152.fibertel.com.ar.
181.117.203.77,host77.181-117-203.telmex.net.ar.
152.171.101.103,103-101-171-152.fibertel.com.ar.
190.14.170.109,customer-109.tpp.com.ar.170.14.190.in-addr.arpa.
170.210.4.222,unab-riu-500M.ALMIRANTE-BROWN.riu.edu.ar.
181.209.105.156,156.105.209.181.in-addr.arpa.
45.230.8.20,
181.230.166.209,209-166-230-181.cab.prima.com.ar.
190.210.62.152,customer-static-210-62-152.iplannetworks.net.
190.210.211.70,customer-static-210-211-70.iplannetworks.net.
190.220.1.173,
181.174.205.62,
170.79.183.130,
181.209.82.154,154.82.209.181.in-addr.arpa.
186.13.38.191,host191.186-13-38.telmex.net.ar.
190.103.86.147,host147.86.103.190.datalinksrl.com.ar.
190.216.65.166,
190.216.68.130,
190.216.7.209,190-216-7-209.static.impsat.net.ar.
200.0.194.78,ns3.gblx.net.ar.
200.32.110.90,200-32-110-90.static.impsat.net.ar.
200.32.111.203,200-32-111-203.static.impsat.net.ar.
200.41.61.242,mail.limansky.com.
200.41.61.243,200-41-61-243.static.impsat.net.ar.
200.41.61.244,200-41-61-244.static.impsat.net.ar.
200.41.61.245,200-41-61-245.static.impsat.net.ar.
200.41.61.247,200-41-61-247.static.impsat.net.ar.
200.41.61.248,200-41-61-248.static.impsat.net.ar.
200.49.1.8,200-49-1-8.static.impsat.net.ar.
200.49.10.133,200-49-10-133.static.impsat.net.ar.
200.55.19.247,200-55-19-247.static.impsat.net.ar.
200.55.37.162,200-55-37-162.static.impsat.net.ar.
200.55.37.164,quimera.uces.edu.ar.
200.55.37.165,earth.uces.edu.ar.
200.55.59.101,ns1.sedronar.gov.ar.
200.55.59.102,ns2.sedronar.gov.ar.
200.55.63.133,mxout1.mbasystems.com.ar.
201.234.106.164,201-234-106-164.static.impsat.net.ar.
201.234.130.25,201-234-130-25.static.impsat.net.ar.
201.234.130.26,201-234-130-26.static.impsat.net.ar.
201.234.130.28,201-234-130-28.static.impsat.net.ar.
201.234.130.31,201-234-130-31.static.impsat.net.ar.
201.234.138.252,coopticino.com.ar.
201.234.15.170,201-234-15-170.dynamic.telered.net.ar.
201.234.152.129,201-234-152-129.static.impsat.net.ar.
201.234.159.214,201-234-159-214.dynamic.telered.net.ar.
201.234.231.130,201-234-231.static.impsat.net.ve.
201.234.232.18,201-234-232.static.gblx.net.
201.234.236.126,201-234-236.static.gblx.net.
201.234.239.155,201-234-239-155.static.satelca.com.ve.
201.234.44.129,201-234-44-129.dynamic.funescoop.com.ar.
201.234.86.130,
201.234.88.18,201-234-88-18.dynamic.covinter.com.ar.
204.199.6.86,204-199-6-86.dia.static.centurylink.com.ar.
64.76.121.200,trimotion.redmetropolitana.com.ar.
64.76.23.53,64-76-23-53.static.impsat.net.ar.
64.76.25.113,64-76-25-113.static.impsat.net.ar.
64.76.25.115,64-76-25-115.static.impsat.net.ar.
64.76.25.117,64-76-25-117.static.impsat.net.ar.
64.76.25.118,64-76-25-118.static.impsat.net.ar.
64.76.25.119,64-76-25-119.static.impsat.net.ar.
64.76.25.120,64-76-25-120.static.impsat.net.ar.
64.76.25.121,64-76-25-121.static.impsat.net.ar.
64.76.25.123,64-76-25-123.static.impsat.net.ar.
64.76.25.124,64-76-25-124.static.impsat.net.ar.
64.76.25.125,64-76-25-125.static.impsat.net.ar.
64.76.25.127,64-76-25-127.static.impsat.net.ar.
64.76.47.162,smtp.limansky.com.
64.76.47.163,64-76-47-163.static.impsat.net.ar.
64.76.47.164,ti.limansky.com.
64.76.47.165,64-76-47-165.static.impsat.net.ar.
201.213.82.223,201.213.82.223.fibercorp.com.ar.
181.88.198.207,207.198.88.181.telecom.com.ar.
168.196.225.143,
181.232.161.228,
190.185.150.19,host-190.185.150.19.rcdi.com.ar.
181.232.160.14,
45.182.222.96,
177.12.216.254,host254-216.coopeplay.com.ar.216.12.177.in-addr.arpa.
200.55.240.238,
186.177.194.152,152-194-177-186.interbourg.com.ar.194.177.186.in-addr.arpa.
190.124.168.236,nav.cootelser.coop.ar.
45.164.18.32,45-164-18-32.rev1.flynetsrl.net.
181.209.87.236,236.87.209.181.in-addr.arpa.
186.177.205.47,47-205-177-186.interbourg.com.ar.205.177.186.in-addr.arpa.
190.120.61.144,host144-61.cpenet.com.ar.
190.107.247.254,
190.106.145.8,h8-n190-106-145.v8.fangio.net.
190.103.177.129,129.ip-177-103-190.cor.ar.ipxon.net.
186.177.201.14,14-201-177-186.interbourg.com.ar.201.177.186.in-addr.arpa.
181.16.234.72,host72-234.16.181.colsecor.net.ar.
190.228.130.206,host206.190-228-130.telecom.net.ar.
45.171.224.11,mail.uvc.com.ar.
179.62.217.178,178.217.62.179.unassigned.ridsa.com.ar.
181.15.112.188,host188.181-15-112.telecom.net.ar.
190.123.85.89,host89.190-123-85.sitsanetworks.net.
181.47.185.214,cpe-181-47-185-214.telecentro-reversos.com.ar.
186.177.193.30,30-193-177-186.interbourg.com.ar.193.177.186.in-addr.arpa.
45.234.120.47,
201.190.184.123,201-190-184-123.supercanal.com.ar.
190.112.219.214,
200.43.166.60,host60.200-43-166.static.intercity.net.ar.
186.1.222.82,hostCRS15082.redcrs.com.ar.
170.79.183.150,
206.221.82.187,host082-187.cablenet.net.ar.
190.185.206.195,195.206.185.190.unassigned.ridsa.com.ar.
191.97.118.86,
190.183.214.22,
190.107.247.245,
45.182.222.247,
190.104.235.177,static.177.235.104.190.cps.com.ar.
179.62.219.128,128.219.62.179.unassigned.ridsa.com.ar.
190.122.26.100,
190.185.150.160,host-190.185.150.160.rcdi.com.ar.
190.120.61.75,host75-61.cpenet.com.ar.
186.177.205.7,
186.177.202.211,211-202-177-186.interbourg.com.ar.202.177.186.in-addr.arpa.
200.80.227.228,claro200-228.palermoslots.com.ar.
190.136.20.170,host170.190-136-20.telecom.net.ar.
190.185.150.153,host-190.185.150.153.rcdi.com.ar.
45.182.222.255,
45.177.147.117,Static-aacc117.netlatin.net.ar.
200.45.220.129,host129.200-45-220.telecom.net.ar.
190.210.127.98,customer-static-210-127-98.iplannetworks.net.
186.0.196.39,
200.24.255.73,73-255-24-200.comodoro.net.
